YEAR;LATITUDE;LONGITUDE
1690;  17.500;  -61.500
1702;  14.400;  -61.000
1717;  18.300;  -66.400
1727;  14.400;  -61.000
1766;  14.400;  -61.100
1767;  14.400;  -61.000
1787;  18.300;  -66.400
1787;  18.000;  -66.400
1788;  14.000;  -61.000
1802;  17.200;  -62.400
1822;  12.100;  -64.100
1823;  14.400;  -61.100
1824;  16.700;  -62.200
1824;  14.400;  -61.000
1827;  14.400;  -61.000
1831;  12.400;  -61.500
1837;  18.200;  -64.500
1839;  14.400;  -61.100
1843;  16.500;  -62.200
1844;  18.300;  -66.800
1844;  13.100;  -61.100
1851;  16.200;  -61.400
1867;  18.400;  -64.300
1867;  18.100;  -65.100
1867;  18.400;  -64.300
1868;  18.100;  -65.100
1871;  18.350;  -64.900
1871;  18.400;  -64.600
1874;  18.100;  -65.100
1875;  18.300;  -66.400
1897;  16.720;  -62.180
1897;  16.500;  -61.800
1906;  14.000;  -61.000
1906;  15.000;  -61.000
1916;  18.500;  -68.000
1918;  18.500;  -67.500
1918;  18.500;  -67.500
1943;  19.300;  -67.500
1974;  17.300;  -62.000
1985;  17.013;  -62.448
1988;  19.080;  -67.256
2004;  15.679;  -61.706
2005;  15.775;  -61.744
2007;  14.944;  -61.274
2010;  18.400;  -67.070
2014;  19.043;  -66.810
